def_normalized_key,def_occurrences,def_distinct_values,def_groups,def_projects,def_sample_values,def_sample_files,def_severity
3_sizebytes,9,2,GENERAL,UNKNOWN,26546 || 242127,NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json; NEXUSCORE_TOOL_MATRIX.json; supportive_modules_registry.json,MEDIUM
3_modifiedtime,9,2,GENERAL,UNKNOWN,2026-06-08 20:15:46 || 2026-05-06 00:35:34,NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json; NEXUSCORE_TOOL_MATRIX.json; supportive_modules_registry.json,MEDIUM
requests_available,8,2,GENERAL,VDF,True || False,VDF_MDL001_TWUniverse_Verify.py; VDF_MDL004_TWFullMarketEngine (2).py; VDF_MDL007_SSOTResolver (1).py,MEDIUM
yfinance_available,8,2,DATA_SOURCE,UNKNOWN;VDF,True || False,VDF_MDL004_TWFullMarketEngine (2).py; VDF_MDL005_TWStockFilter (1).py; VDF_MDL007_SSOTResolver (1).py,MEDIUM
flat,8,2,GENERAL,VIA,#9c9890 || #9c9890;,VIA_P7_TWFocus.html; VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,MEDIUM
domain,8,2,GENERAL,VIA,"[0, 1], || domains[i],",VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,MEDIUM
const_lay,8,2,GENERAL,VIA,mount && mount.layout; || mount.layout || {};,VIA_TW_Resonance_Stock_Stack (13).html; VIA_TW_Resonance_Stock_Stack (17).html,MEDIUM
scriptpath,8,2,PATH_IO,UNKNOWN;VEF;VIA," || """"",Invoke-VIA-SafePolyglotOptimizer.ps1; Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; VIA_SSOT_PanoramicAugmenter_v2.ps1,MEDIUM
13_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
14_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
15_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
22_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
23_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
31_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
32_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
33_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
34_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
35_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
36_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
37_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
38_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
39_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
40_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
41_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
42_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
43_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
44_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
45_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
46_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
47_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
48_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
49_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
50_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
51_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
52_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
53_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
54_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
55_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
56_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
57_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
58_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
59_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
60_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
61_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
62_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
63_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
64_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
65_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
66_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
67_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
68_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
69_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
70_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
71_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
72_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
73_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
74_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
75_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
76_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
77_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
78_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
79_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
80_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
81_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
82_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
83_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
84_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
85_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
86_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
87_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
88_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
89_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
90_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
91_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
92_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
93_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
94_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
95_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
96_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
97_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
98_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
99_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
100_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
101_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
102_status,8,2,GENERAL,UNKNOWN,FOUND || PLAN_READY,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
103_status,8,2,GENERAL,UNKNOWN,FOUND || OK_COPIED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
104_status,8,2,GENERAL,UNKNOWN,FOUND || OK_COPIED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
105_status,8,2,GENERAL,UNKNOWN,FOUND || OK_COPIED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
106_status,8,2,GENERAL,UNKNOWN,FOUND || OK_AST,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
107_status,8,2,GENERAL,UNKNOWN,FOUND || OK_AST,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
108_status,8,2,GENERAL,UNKNOWN,FOUND || WARN_FORBIDDEN_PATTERN,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
108_risk,8,2,GOVERNANCE_POLICY,UNKNOWN,LOW || HIGH,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
109_status,8,2,GENERAL,UNKNOWN,FOUND || WARN_FORBIDDEN_PATTERN,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
109_risk,8,2,GOVERNANCE_POLICY,UNKNOWN,LOW || HIGH,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
110_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
111_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
112_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
114_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
115_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
116_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
117_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
118_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
125_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
126_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
134_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
135_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
136_status,8,2,GENERAL,UNKNOWN,FOUND || MISSING_OR_NOT_APPLICABLE,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
137_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
138_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
139_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
140_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
141_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
142_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
143_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
144_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
145_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
146_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
147_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
148_status,8,2,GENERAL,UNKNOWN,FOUND || DISCOVERED,03_ThreeRoundMatrix.json; NEXUSCORE_FULL_SUPPORTIVE_REGISTRY.json; NEXUSCORE_SCANONLY_INVENTORY.json,MEDIUM
