"ModuleNo","ModuleId","Name","Role","Phase","SourcePath","TargetPath","Extension","SizeBytes","Sha256","Status","Risk"
"151","VRN_MDL151","VRN_MDL151_vrn_flowa_official_parser_flowc_health_v061567__DATA_SOURCE__v061567.json","DATA_SOURCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL151_vrn_flowa_official_parser_flowc_health_v061567__DATA_SOURCE__v061567.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL151_vrn_flowa_official_parser_flowc_health_v061567__DATA_SOURCE__v061567.json",".json","3640","7c9a677b0452fb3e1652ab70c56e1d27a061aabd9f8e4776df66e1791c1a94b3","OK","LOW"
"152","VRN_MDL152","VRN_MDL152_vrn_official_fetch_dryrun_parser_readiness_v06156551__DATA_SOURCE__v06156551.json","DATA_SOURCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL152_vrn_official_fetch_dryrun_parser_readiness_v06156551__DATA_SOURCE__v06156551.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL152_vrn_official_fetch_dryrun_parser_readiness_v06156551__DATA_SOURCE__v06156551.json",".json","3061","a4afb91a19d3d58469962a181b2fed200f916be525dc46b30cbae47a65b2823b","OK","LOW"
"153","VRN_MDL153","VRN_MDL153_data_table_reconstruction_validation_dryrun_v061561__GOVERNANCE__v061561.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL153_data_table_reconstruction_validation_dryrun_v061561__GOVERNANCE__v061561.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL153_data_table_reconstruction_validation_dryrun_v061561__GOVERNANCE__v061561.json",".json","2017","23123b3be30fc907d6b711c22d38ba062edffb53d5acdbb1da108121c2bd1a69","OK","LOW"
"154","VRN_MDL154","VRN_MDL154_future_new_report_compatibility_gate_smoke_v061561__REPORT__v061561.json","REPORT","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL154_future_new_report_compatibility_gate_smoke_v061561__REPORT__v061561.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL154_future_new_report_compatibility_gate_smoke_v061561__REPORT__v061561.json",".json","1123","aad647bf2fd4f25dd79bd5a87ce611ccd0aba088893643bd2da219250adfbe9c","OK","LOW"
"155","VRN_MDL155","VRN_MDL155_data_table_reconstruction_validation_dryrun_v06156__GOVERNANCE__v06156.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL155_data_table_reconstruction_validation_dryrun_v06156__GOVERNANCE__v06156.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL155_data_table_reconstruction_validation_dryrun_v06156__GOVERNANCE__v06156.json",".json","2003","eb2efc14f8f0a7cf46a1c4b42da6c3220fb9116b4c44d1ba19c9a684fb198615","OK","LOW"
"156","VRN_MDL156","VRN_MDL156_flow_a_table_reconstruction_planner_v061549__SUPPORT_RULE__v061549.json","SUPPORT_RULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL156_flow_a_table_reconstruction_planner_v061549__SUPPORT_RULE__v061549.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL156_flow_a_table_reconstruction_planner_v061549__SUPPORT_RULE__v061549.json",".json","2551","bc73fe568504b5842c70c8b5f65b85995e283bd54d611c7df09e74b476608212","OK","LOW"
"157","VRN_MDL157","VRN_MDL157_vrn_matrix_join_finalizer_v061534__MODULE__v061534.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL157_vrn_matrix_join_finalizer_v061534__MODULE__v061534.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL157_vrn_matrix_join_finalizer_v061534__MODULE__v061534.json",".json","1962","38e1b7a175fe16d14c4dbae5850b2aae1efc391e973ba500841ef0b25a516724","OK","LOW"
"158","VRN_MDL158","VRN_MDL158_vrn_financialdata_triflow_staging_v06153__FINANCIALDATA__v06153.json","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL158_vrn_financialdata_triflow_staging_v06153__FINANCIALDATA__v06153.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL158_vrn_financialdata_triflow_staging_v06153__FINANCIALDATA__v06153.json",".json","1701","a8881f567ddbbaa230c505e8f13ffc773f14289e85c736105183a6eeca8ac355","OK","LOW"
"159","VRN_MDL159","VRN_MDL159_vrn_tri_flow_parallel_orchestrator_v06154__CORE__v06154.json","CORE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL159_vrn_tri_flow_parallel_orchestrator_v06154__CORE__v06154.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL159_vrn_tri_flow_parallel_orchestrator_v06154__CORE__v06154.json",".json","955","3ce50573f2229da703b3cfad4abf84f21f27b07c192f0413200741d09cf1b3ae","OK","LOW"
"160","VRN_MDL160","VRN_MDL160_vrn_financial_data_confirm_verify_v06125__FINANCIALDATA__v06125.json","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL160_vrn_financial_data_confirm_verify_v06125__FINANCIALDATA__v06125.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL160_vrn_financial_data_confirm_verify_v06125__FINANCIALDATA__v06125.json",".json","2954","4de5360e50e77388bc3f9989e6b24b1867d17de9bd6c1b210166df75f6026302","OK","LOW"
"161","VRN_MDL161","VRN_MDL161_vrn_financial_ssot_lock_v0600__FINANCIALDATA__v0600.json","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL161_vrn_financial_ssot_lock_v0600__FINANCIALDATA__v0600.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL161_vrn_financial_ssot_lock_v0600__FINANCIALDATA__v0600.json",".json","4753","3ea967c38724d6ddfc72afb867edef0e2404ac84837066340294cddb004b5d3b","OK","LOW"
"162","VRN_MDL162","VRN_MDL162_vrn_financial_ssot_alias_completion_raw_first_v05912__FINANCIALDATA__v05912.json","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL162_vrn_financial_ssot_alias_completion_raw_first_v05912__FINANCIALDATA__v05912.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL162_vrn_financial_ssot_alias_completion_raw_first_v05912__FINANCIALDATA__v05912.json",".json","5015","b2960c03f492ed8b01c3a9b4119a7ffc181e4a465dd42f9a7d304cbbf478905a","OK","LOW"
"163","VRN_MDL163","VRN_MDL163_vrn_panoramic_completion_verifier_v0586__MODULE__v0586.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL163_vrn_panoramic_completion_verifier_v0586__MODULE__v0586.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL163_vrn_panoramic_completion_verifier_v0586__MODULE__v0586.json",".json","2889","36e73a526c83b274ef0bb212b62ead52a9b93bb1bb95bf8e6ec9e0c791856ec1","OK","LOW"
"164","VRN_MDL164","VRN_MDL164_vrn_data_trust_granular_calibration_v05692__MODULE__v05692.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL164_vrn_data_trust_granular_calibration_v05692__MODULE__v05692.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL164_vrn_data_trust_granular_calibration_v05692__MODULE__v05692.json",".json","6770","a9c13c0f684ea5b02d27db56f2f85ed836ed275d25caf5de7949c24ea1623391","OK","LOW"
"165","VRN_MDL165","VRN_MDL165_vrn_data_trust_granular_calibration_v05692__MODULE__v05692.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL165_vrn_data_trust_granular_calibration_v05692__MODULE__v05692.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL165_vrn_data_trust_granular_calibration_v05692__MODULE__v05692.json",".json","6770","a9c13c0f684ea5b02d27db56f2f85ed836ed275d25caf5de7949c24ea1623391","OK","LOW"
"166","VRN_MDL166","VRN_MDL166_vrn_duckdb_empty_safe_data_trust_calibration_v05691__MODULE__v05691.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL166_vrn_duckdb_empty_safe_data_trust_calibration_v05691__MODULE__v05691.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL166_vrn_duckdb_empty_safe_data_trust_calibration_v05691__MODULE__v05691.json",".json","6110","ee85df1f85c317f139a669e73bc255ea1ba3a89d3ea4b3e914c3bba25de3471f","OK","LOW"
"167","VRN_MDL167","VRN_MDL167_vrn_duckdb_empty_safe_data_trust_calibration_v05691__MODULE__v05691.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL167_vrn_duckdb_empty_safe_data_trust_calibration_v05691__MODULE__v05691.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL167_vrn_duckdb_empty_safe_data_trust_calibration_v05691__MODULE__v05691.json",".json","6110","ee85df1f85c317f139a669e73bc255ea1ba3a89d3ea4b3e914c3bba25de3471f","OK","LOW"
"168","VRN_MDL168","VRN_MDL168_vrn_final_integration_resolver_v0567__MODULE__v0567.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL168_vrn_final_integration_resolver_v0567__MODULE__v0567.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL168_vrn_final_integration_resolver_v0567__MODULE__v0567.json",".json","5565","e0a27be559eba50ebada77791813ff7aecabcc8bc01c003b483fa292d3d06c2d","OK","LOW"
"169","VRN_MDL169","VRN_MDL169_vrn_final_integration_resolver_v0567__GOVERNANCE__v0567.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL169_vrn_final_integration_resolver_v0567__GOVERNANCE__v0567.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL169_vrn_final_integration_resolver_v0567__GOVERNANCE__v0567.json",".json","5565","e0a27be559eba50ebada77791813ff7aecabcc8bc01c003b483fa292d3d06c2d","OK","LOW"
"170","VRN_MDL170","VRN_MDL170_vrn_twse_is_correct_matching_v0566__MODULE__v0566.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL170_vrn_twse_is_correct_matching_v0566__MODULE__v0566.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL170_vrn_twse_is_correct_matching_v0566__MODULE__v0566.json",".json","2926","d14d225f46b005974bb60c2d39c7e919d314335506f929ba9af101ec98b83489","OK","LOW"
"171","VRN_MDL171","VRN_MDL171_vrn_twse_is_correct_matching_v0566__MODULE__v0566.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL171_vrn_twse_is_correct_matching_v0566__MODULE__v0566.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL171_vrn_twse_is_correct_matching_v0566__MODULE__v0566.json",".json","2926","d14d225f46b005974bb60c2d39c7e919d314335506f929ba9af101ec98b83489","OK","LOW"
"172","VRN_MDL172","VRN_MDL172_vrn_same_batch_safe_fixes_v0565__MODULE__v0565.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL172_vrn_same_batch_safe_fixes_v0565__MODULE__v0565.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL172_vrn_same_batch_safe_fixes_v0565__MODULE__v0565.json",".json","3011","431616cef7afee893022507fdb955125c39d8cb7be3501d03d68962b1484fd79","OK","LOW"
"173","VRN_MDL173","VRN_MDL173_vrn_deep_semantic_conflict_resolver_v0563__MODULE__v0563.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL173_vrn_deep_semantic_conflict_resolver_v0563__MODULE__v0563.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL173_vrn_deep_semantic_conflict_resolver_v0563__MODULE__v0563.json",".json","5464","2fb917fbef8c3d4e40c479cbad3e5e9a5c17d624589f2d60bf38c7faae9465b7","OK","LOW"
"174","VRN_MDL174","VRN_MDL174_vrn_deep_semantic_conflict_resolver_v0563__MODULE__v0563.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL174_vrn_deep_semantic_conflict_resolver_v0563__MODULE__v0563.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL174_vrn_deep_semantic_conflict_resolver_v0563__MODULE__v0563.json",".json","5464","2fb917fbef8c3d4e40c479cbad3e5e9a5c17d624589f2d60bf38c7faae9465b7","OK","LOW"
"175","VRN_MDL175","VRN_MDL175_vrn_semantic_isolation_seal_v0562__GOVERNANCE__v0562.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL175_vrn_semantic_isolation_seal_v0562__GOVERNANCE__v0562.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL175_vrn_semantic_isolation_seal_v0562__GOVERNANCE__v0562.json",".json","5218","26aa6b62115f03dc2e8b92d24c44346c14c17e62dcdcdf39ac4a79ef3832ebb7","OK","LOW"
"176","VRN_MDL176","VRN_MDL176_vrn_semantic_isolation_seal_v0562__GOVERNANCE__v0562.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL176_vrn_semantic_isolation_seal_v0562__GOVERNANCE__v0562.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL176_vrn_semantic_isolation_seal_v0562__GOVERNANCE__v0562.json",".json","5218","26aa6b62115f03dc2e8b92d24c44346c14c17e62dcdcdf39ac4a79ef3832ebb7","OK","LOW"
"177","VRN_MDL177","VRN_MDL177_vrn_panoramic_triple_pass_repair_v0561__MODULE__v0561.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL177_vrn_panoramic_triple_pass_repair_v0561__MODULE__v0561.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL177_vrn_panoramic_triple_pass_repair_v0561__MODULE__v0561.json",".json","5339","2aeff383c55709383a288d7f2c8580db20a826cb0f924c8455582b4a4d52962f","OK","LOW"
"178","VRN_MDL178","VRN_MDL178_vrn_panoramic_triple_pass_repair_v0561__GOVERNANCE__v0561.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL178_vrn_panoramic_triple_pass_repair_v0561__GOVERNANCE__v0561.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL178_vrn_panoramic_triple_pass_repair_v0561__GOVERNANCE__v0561.json",".json","5339","2aeff383c55709383a288d7f2c8580db20a826cb0f924c8455582b4a4d52962f","OK","LOW"
"179","VRN_MDL179","VRN_MDL179_vrn_ssot_financial_only_unit_seal_v056__FINANCIALDATA__v056.json","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL179_vrn_ssot_financial_only_unit_seal_v056__FINANCIALDATA__v056.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL179_vrn_ssot_financial_only_unit_seal_v056__FINANCIALDATA__v056.json",".json","5174","37e79a86bc170eb14651acbf26fcd9146006da21593b1a4f2b8536ac1f3cf10e","OK","LOW"
"180","VRN_MDL180","VRN_MDL180_vrn_ssot_financial_only_unit_seal_v056__FINANCIALDATA__v056.json","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL180_vrn_ssot_financial_only_unit_seal_v056__FINANCIALDATA__v056.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL180_vrn_ssot_financial_only_unit_seal_v056__FINANCIALDATA__v056.json",".json","5174","37e79a86bc170eb14651acbf26fcd9146006da21593b1a4f2b8536ac1f3cf10e","OK","LOW"
"181","VRN_MDL181","VRN_MDL181_vrn_unit_consensus_ui_seal_v055__GOVERNANCE__v055.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL181_vrn_unit_consensus_ui_seal_v055__GOVERNANCE__v055.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL181_vrn_unit_consensus_ui_seal_v055__GOVERNANCE__v055.json",".json","5060","8c41b819d70f2e7f33110c9929dcf25d268a60dcdb93c35e5f0538f890b59156","OK","LOW"
"182","VRN_MDL182","VRN_MDL182_vrn_final_display_unit_sanity_v054__MODULE__v054.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL182_vrn_final_display_unit_sanity_v054__MODULE__v054.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL182_vrn_final_display_unit_sanity_v054__MODULE__v054.json",".json","5169","7be4a664d5303ffa87d655ad217f6ef3a028facfc61635902fdb739a52969be7","OK","LOW"
"183","VRN_MDL183","VRN_MDL183_vrn_final_integrated_seal_v053__GOVERNANCE__v053.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL183_vrn_final_integrated_seal_v053__GOVERNANCE__v053.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL183_vrn_final_integrated_seal_v053__GOVERNANCE__v053.json",".json","5601","2ca4814f80778cb028f6b089a6c7afb924640a183ed8e368e0069ecceebc13d9","OK","LOW"
"184","VRN_MDL184","VRN_MDL184_vrn_final_integrated_seal_v053__GOVERNANCE__v053.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL184_vrn_final_integrated_seal_v053__GOVERNANCE__v053.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL184_vrn_final_integrated_seal_v053__GOVERNANCE__v053.json",".json","5601","2ca4814f80778cb028f6b089a6c7afb924640a183ed8e368e0069ecceebc13d9","OK","LOW"
"185","VRN_MDL185","VRN_MDL185_vrn_unit_precision_polish_v0521__MODULE__v0521.json","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL185_vrn_unit_precision_polish_v0521__MODULE__v0521.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL185_vrn_unit_precision_polish_v0521__MODULE__v0521.json",".json","3726","21b4d000cac65c375904d5e1f8ced4e7580ae0f6b0fd994c6c75d8e6a62ffa9c","OK","LOW"
"186","VRN_MDL186","VRN_MDL186_vrn_unit_precision_polish_v0521__GOVERNANCE__v0521.json","GOVERNANCE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL186_vrn_unit_precision_polish_v0521__GOVERNANCE__v0521.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL186_vrn_unit_precision_polish_v0521__GOVERNANCE__v0521.json",".json","3726","21b4d000cac65c375904d5e1f8ced4e7580ae0f6b0fd994c6c75d8e6a62ffa9c","OK","LOW"
"187","VRN_MDL187","VRN_MDL187_vrn_financial_quality_layer_v050__FINANCIALDATA__v050.json","FINANCIALDATA","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL187_vrn_financial_quality_layer_v050__FINANCIALDATA__v050.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL187_vrn_financial_quality_layer_v050__FINANCIALDATA__v050.json",".json","4032","e1691b744da0608745b521223b5104934b1f12fb4a7e184d977ca05b56fe87d3","OK","LOW"
"188","VRN_MDL188","VRN_MDL188_VRN-AllInOne__REPORT__v0_0.ps1","REPORT","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL188_VRN-AllInOne__REPORT__v0_0.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL188_VRN-AllInOne__REPORT__v0_0.ps1",".ps1","6262","b1783ba7064cbae06628a7e55cd431af43532060844ca11b6ac5653cba9eea63","OK","LOW"
"189","VRN_MDL189","VRN_MDL189_run_vrn_boot_purge_temp_first__MODULE__v0_0.ps1","MODULE","MDL009_PLUS_SUPPORT","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules\VRN_MDL189_run_vrn_boot_purge_temp_first__MODULE__v0_0.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL189_run_vrn_boot_purge_temp_first__MODULE__v0_0.ps1",".ps1","6262","b1783ba7064cbae06628a7e55cd431af43532060844ca11b6ac5653cba9eea63","OK","LOW"
